Team,Points
,
,
,"1
Man United
Man United"
,"0
Aston Villa
Aston Villa"
,
,
,"1
Fulham
Fulham"
,"2
Man City
Man City"
,
,
,"4
Bournemouth
Bournemouth"
,"1
Leeds United
Leeds United"
,
,
,"4
Liverpool
Liverpool"
,"3
Tottenham
Tottenham"
